Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
24 Boo b,,217.1555242,49.8446488,,,,,,
55 Cnc b,,133.1468373,28.3298154,,,,,,
55 Cnc c,,133.1468373,28.3298154,,,,,,
55 Cnc d,,133.1468373,28.3298154,,,,,,
55 Cnc e,,133.1468373,28.3298154,,,,,,
55 Cnc f,,133.1468373,28.3298154,,,,,,
61 Vir b,,199.596455,-18.3157745,,,,,,
61 Vir c,,199.596455,-18.3157745,,,,,,
61 Vir d,,199.596455,-18.3157745,,,,,,
AU Mic b,,311.2911369,-31.34245,,,,,,
AU Mic c,,311.2911369,-31.34245,,,,,,
BD-06 1339 b,,88.2511811,-5.9963378,,,,,,
BD-06 1339 c,,88.2511811,-5.9963378,,,,,,
BD-08 2823 b,,150.1971964,-9.5165689,,,,,,
BD-08 2823 c,,150.1971964,-9.5165689,,,,,,
BD-11 4672 b,,278.3688659,-11.6370481,,,,,,
BD-11 4672 c,,278.3688659,-11.6370481,,,,,,
BD-210397 b,,33.3024198,-21.1962147,,,,,,
BD-210397 c,,33.3024198,-21.1962147,,,,,,
Barnard b,,269.4486144,4.7379808,,,,,,
CD Cet b,,48.3530155,4.7751881,,,,,,
CoRoT-7 b,,100.9561682,-1.0630076,,,,,,
CoRoT-7 c,,100.9561682,-1.0630076,,,,,,
DMPP-3 A b,,91.624382,-72.5126648,,,,,,
EPIC 201170410.02,,170.1408561,-4.8070039,,,,,,
EPIC 201757695.02,,173.9385102,4.6164303,,,,,,
EPIC 201841433 b,,175.206752,6.1348146,,,,,,
EPIC 211822797 b,,130.4102091,17.6399744,,,,,,
EPIC 212737443 b,,204.2215065,-7.3180577,,,,,,
EPIC 212737443 c,,204.2215065,-7.3180577,,,,,,
EPIC 220674823 b,,13.0800239,10.7947051,,,,,,
EPIC 220674823 c,,13.0800239,10.7947051,,,,,,
EPIC 229004835 b,,186.4860415,-1.4047214,,,,,,
EPIC 249893012 b,,228.2482353,-16.7246474,,,,,,
EPIC 249893012 c,,228.2482353,-16.7246474,,,,,,
EPIC 249893012 d,,228.2482353,-16.7246474,,,,,,
G 264-012 b,,326.6719598,66.803848,,,,,,
G 264-012 c,,326.6719598,66.803848,,,,,,
GJ 1002 b,,1.6764641,-7.5462123,,,,,,
GJ 1002 c,,1.6764641,-7.5462123,,,,,,
GJ 1061 b,,54.0032486,-44.5143104,,,,,,
GJ 1061 c,,54.0032486,-44.5143104,,,,,,
GJ 1061 d,,54.0032486,-44.5143104,,,,,,
GJ 1132 b,,153.7090696,-47.1549358,,,,,,
GJ 1132 c,,153.7090696,-47.1549358,,,,,,
GJ 1148 b,,175.4326081,42.7515862,,,,,,
GJ 1148 c,,175.4326081,42.7515862,,,,,,
GJ 1151 c,,177.7304866,48.3732334,,,,,,
GJ 1214 b,,258.8313991,4.9606795,,,,,,
GJ 1252 b,,306.9286462,-56.4622865,,,,,,
GJ 1265 b,,333.4324675,-17.6870623,,,,,,
GJ 143 b,,51.7501882,-63.500166,,,,,,
GJ 15 A b,,4.6126677,44.0247296,,,,,,
GJ 15 A c,,4.6126677,44.0247296,,,,,,
GJ 163 b,,62.3228353,-53.3711768,,,,,,
GJ 163 c,,62.3228353,-53.3711768,,,,,,
GJ 163 d,,62.3228353,-53.3711768,,,,,,
GJ 179 b,,73.0245495,6.4752347,,,,,,
GJ 2030 b,,50.8237604,-7.7950429,,,,,,
GJ 2030 c,,50.8237604,-7.7950429,,,,,,
GJ 238 b,,98.454881,-58.5250316,,,,,,
GJ 251 b,,103.7002499,33.2664632,,,,,,
GJ 273 b,,111.852091,5.225807,,,,,,
GJ 273 c,,111.852091,5.225807,,,,,,
GJ 3090 b,,20.4384281,-46.7147234,,,,,,
GJ 3138 b,,32.2977385,-16.3392495,,,,,,
GJ 3138 c,,32.2977385,-16.3392495,,,,,,
GJ 3138 d,,32.2977385,-16.3392495,,,,,,
GJ 317 b,,130.2445254,-23.452809,,,,,,
GJ 317 c,,130.2445254,-23.452809,,,,,,
GJ 328 b,,133.7819507,1.5420011,,,,,,
GJ 328 c,,133.7819507,1.5420011,,,,,,
GJ 3293 b,,67.1484425,-25.1713396,,,,,,
GJ 3293 c,,67.1484425,-25.1713396,,,,,,
GJ 3293 d,,67.1484425,-25.1713396,,,,,,
GJ 3293 e,,67.1484425,-25.1713396,,,,,,
GJ 3323 b,,75.4868824,-6.9485133,,,,,,
GJ 3323 c,,75.4868824,-6.9485133,,,,,,
GJ 3341 b,,78.9471415,-31.2948458,,,,,,
GJ 338 B b,,138.5916722,52.6835211,,,,,,
GJ 3470 b,,119.7735021,15.391209,,,,,,
GJ 3473 b,,120.5936065,3.3371629,,,,,,
GJ 3473 c,,120.5936065,3.3371629,,,,,,
GJ 3512 b,,130.3316616,59.4918364,,,,,,
GJ 3512 c,,130.3316616,59.4918364,,,,,,
GJ 357 b,,144.0074644,-21.6650634,,,,,,
GJ 357 c,,144.0074644,-21.6650634,,,,,,
GJ 357 d,,144.0074644,-21.6650634,,,,,,
GJ 367 b,,146.121464,-45.7790165,,,,,,
GJ 3779 b,,200.7335358,24.4639425,,,,,,
GJ 3929 b,,239.5775678,35.4081141,,,,,,
GJ 3929 c,,239.5775678,35.4081141,,,,,,
GJ 393 b,,157.2288672,0.8378485,,,,,,
GJ 3942 b,,242.2645452,52.9441443,,,,,,
GJ 3988 b,,255.8503747,51.4089795,,,,,,
GJ 3998 b,,259.0020507,11.0561751,,,,,,
GJ 3998 c,,259.0020507,11.0561751,,,,,,
GJ 411 b,,165.834471,35.972317,,,,,,
GJ 414 A b,,167.7745044,30.4451688,,,,,,
GJ 414 A c,,167.7745044,30.4451688,,,,,,
GJ 4276 b,,336.3221454,59.412503,,,,,,
GJ 433 b,,173.8619194,-32.5436302,,,,,,
GJ 433 c,,173.8619194,-32.5436302,,,,,,
GJ 433 d,,173.8619194,-32.5436302,,,,,,
GJ 436 b,,175.5505363,26.7030669,,,,,,
GJ 486 b,,191.981531,9.7494181,,,,,,
GJ 514 b,,202.5040424,10.3725387,,,,,,
GJ 536 b,,210.2597264,-2.6522901,,,,,,
GJ 581 b,,229.8564725,-7.7226935,,,,,,
GJ 581 c,,229.8564725,-7.7226935,,,,,,
